seed,K,rank_constraint,cross_cov_rank,rank_formula,coefficient_rank,factorized_rank,relative_factorization_error,rrr_mse,factored_mse,ols_mse,factorized_loss_gap,rrr_ols_gap
2,24,24,24,24,24,24,1.827634664320365e-15,4.270244758113808,4.270244758113809,4.2702447581193175,8.881784197001252e-16,-5.509370737399877e-12
2,32,2,24,2,2,2,9.182377488923854e-16,156.62977807511467,156.62977807511467,4.277218086823758,0.0,152.35255998829092
2,32,4,24,4,4,4,9.602692121450933e-16,83.16061958633797,83.16061958633797,4.277218086823758,0.0,78.8834014995142
2,32,8,24,8,8,8,1.540847393960481e-15,25.075803386190714,25.075803386190717,4.277218086823758,3.552713678800501e-15,20.798585299366955
2,32,16,24,16,16,16,1.5915257582926942e-15,5.656400612379029,5.656400612379028,4.277218086823758,-8.881784197001252e-16,1.3791825255552705
2,32,24,24,24,24,24,1.4735396841726556e-15,4.277218086814742,4.277218086814741,4.277218086823758,-8.881784197001252e-16,-9.016787316795671e-12
2,48,2,24,2,2,2,7.9224119572207e-16,156.00924349919163,156.00924349919163,4.294886997642076,0.0,151.71435650154956
2,48,4,24,4,4,4,1.0517075027389207e-15,82.48633273162774,82.48633273162774,4.294886997642076,0.0,78.19144573398566
2,48,8,24,8,8,8,2.5103157275456972e-15,25.240272542592052,25.24027254259205,4.294886997642076,-3.552713678800501e-15,20.94538554494998
2,48,16,24,16,16,16,1.4826501932528286e-15,5.6837956880047384,5.6837956880047384,4.294886997642076,0.0,1.3889086903626628
2,48,24,24,24,24,24,1.579068896529807e-15,4.294886997640533,4.294886997640533,4.294886997642076,0.0,-1.5427659150191175e-12
3,2,2,2,2,2,2,1.0013569029942233e-15,24.792093462215774,24.792093462215774,24.792093462247685,0.0,-3.19104742629861e-11
3,2,4,2,2,2,2,1.0013569029942233e-15,24.792093462215774,24.792093462215774,24.792093462247685,0.0,-3.19104742629861e-11
3,2,8,2,2,2,2,1.0013569029942233e-15,24.792093462215774,24.792093462215774,24.792093462247685,0.0,-3.19104742629861e-11
3,2,16,2,2,2,2,1.0013569029942233e-15,24.792093462215774,24.792093462215774,24.792093462247685,0.0,-3.19104742629861e-11
3,2,24,2,2,2,2,1.0013569029942233e-15,24.792093462215774,24.792093462215774,24.792093462247685,0.0,-3.19104742629861e-11
3,4,2,4,2,2,2,1.056124908955544e-15,470.87357213821247,470.87357213821247,18.684791716444188,0.0,452.1887804217683
3,4,4,4,4,4,4,9.749772279077873e-16,18.684791716445165,18.68479171644516,18.684791716444188,-3.552713678800501e-15,9.769962616701378e-13
3,4,8,4,4,4,4,9.749772279077873e-16,18.684791716445165,18.68479171644516,18.684791716444188,-3.552713678800501e-15,9.769962616701378e-13
3,4,16,4,4,4,4,9.749772279077873e-16,18.684791716445165,18.68479171644516,18.684791716444188,-3.552713678800501e-15,9.769962616701378e-13
3,4,24,4,4,4,4,9.749772279077873e-16,18.684791716445165,18.68479171644516,18.684791716444188,-3.552713678800501e-15,9.769962616701378e-13
3,8,2,8,2,2,2,8.760232763423179e-16,405.54124162377923,405.54124162377923,11.788981057349837,0.0,393.7522605664294
3,8,4,8,4,4,4,1.1111262607083851e-15,183.97512465851491,183.97512465851491,11.788981057349837,0.0,172.18614360116507
3,8,8,8,8,8,8,1.1344994981327726e-15,11.788981057308579,11.788981057308577,11.788981057349837,-1.7763568394002505e-15,-4.125766395191022e-11
3,8,16,8,8,8,8,1.1344994981327726e-15,11.788981057308579,11.788981057308577,11.788981057349837,-1.7763568394002505e-15,-4.125766395191022e-11
3,8,24,8,8,8,8,1.1344994981327726e-15,11.788981057308579,11.788981057308577,11.788981057349837,-1.7763568394002505e-15,-4.125766395191022e-11
3,16,2,16,2,2,2,7.667979317575809e-16,235.09418761981092,235.09418761981092,6.3523489764249295,0.0,228.741838643386
3,16,4,16,4,4,4,1.0559984489637774e-15,122.32060554269934,122.32060554269934,6.3523489764249295,0.0,115.9682565662744
3,16,8,16,8,8,8,2.0026771386712882e-15,35.32200859932979,35.32200859932979,6.3523489764249295,0.0,28.969659622904864
3,16,16,16,16,16,16,1.6640432239574755e-15,6.352348976572922,6.352348976572922,6.3523489764249295,0.0,1.4799272918253337e-10
3,16,24,16,16,16,16,1.6640432239574755e-15,6.352348976572922,6.352348976572922,6.3523489764249295,0.0,1.4799272918253337e-10
3,24,2,24,2,2,2,7.630859674441306e-16,155.62031834775965,155.62031834775965,4.262287165532464,0.0,151.3580311822272
3,24,4,24,4,4,4,1.0312108788067267e-15,82.33594010665614,82.33594010665614,4.262287165532464,0.0,78.07365294112367
3,24,8,24,8,8,8,1.1908620456043132e-15,25.10842157799085,25.108421577990853,4.262287165532464,3.552713678800501e-15,20.846134412458387
3,24,16,24,16,16,16,1.6443580064849385e-15,5.650592388398416,5.650592388398415,4.262287165532464,-8.881784197001252e-16,1.3883052228659523
3,24,24,24,24,24,24,1.5132478709843575e-15,4.262287165580578,4.262287165580578,4.262287165532464,0.0,4.8114401351995184e-11
3,32,2,24,2,2,2,1.0799988159392474e-15,157.45347629171061,157.45347629171061,4.246211232893565,0.0,153.20726505881706
3,32,4,24,4,4,4,1.1222912012650058e-15,83.66059144264798,83.66059144264798,4.246211232893565,0.0,79.41438020975443
3,32,8,24,8,8,8,1.3024496743402503e-15,25.130737544970007,25.130737544970007,4.246211232893565,0.0,20.884526312076442
3,32,16,24,16,16,16,1.6253788377331703e-15,5.615370630263221,5.615370630263221,4.246211232893565,0.0,1.369159397369656
3,32,24,24,24,24,24,1.3715105178350495e-15,4.246211232936501,4.246211232936502,4.246211232893565,8.881784197001252e-16,4.2936321165143454e-11
3,48,2,24,2,2,2,1.2198103157346566e-15,154.0603089118939,154.0603089118939,4.213939302388666,0.0,149.84636960950525
3,48,4,24,4,4,4,1.3725469894120079e-15,81.92689248474825,81.92689248474825,4.213939302388666,0.0,77.71295318235958
3,48,8,24,8,8,8,1.3249134676119907e-15,25.031691358415795,25.031691358415795,4.213939302388666,0.0,20.81775205602713
3,48,16,24,16,16,16,2.1523437360035745e-15,5.5898149971642255,5.5898149971642255,4.213939302388666,0.0,1.3758756947755595
3,48,24,24,24,24,24,1.4508906658607944e-15,4.213939302385962,4.213939302385963,4.213939302388666,8.881784197001252e-16,-2.7036151095671812e-12
4,2,2,2,2,2,2,6.478908734514101e-16,24.684044011812908,24.684044011812908,24.684044011916555,0.0,-1.0364686886532581e-10
4,2,4,2,2,2,2,6.478908734514101e-16,24.684044011812908,24.684044011812908,24.684044011916555,0.0,-1.0364686886532581e-10
4,2,8,2,2,2,2,6.478908734514101e-16,24.684044011812908,24.684044011812908,24.684044011916555,0.0,-1.0364686886532581e-10
4,2,16,2,2,2,2,6.478908734514101e-16,24.684044011812908,24.684044011812908,24.684044011916555,0.0,-1.0364686886532581e-10
4,2,24,2,2,2,2,6.478908734514101e-16,24.684044011812908,24.684044011812908,24.684044011916555,0.0,-1.0364686886532581e-10
4,4,2,4,2,2,2,6.763333313116342e-16,459.8556012192722,459.8556012192722,18.68775909053999,0.0,441.1678421287322
4,4,4,4,4,4,4,7.866990282193368e-16,18.68775909051537,18.687759090515375,18.68775909053999,3.552713678800501e-15,-2.462030579408747e-11
4,4,8,4,4,4,4,7.866990282193368e-16,18.68775909051537,18.687759090515375,18.68775909053999,3.552713678800501e-15,-2.462030579408747e-11
4,4,16,4,4,4,4,7.866990282193368e-16,18.68775909051537,18.687759090515375,18.68775909053999,3.552713678800501e-15,-2.462030579408747e-11
4,4,24,4,4,4,4,7.866990282193368e-16,18.68775909051537,18.687759090515375,18.68775909053999,3.552713678800501e-15,-2.462030579408747e-11
4,8,2,8,2,2,2,6.078509789293116e-16,404.4111547047967,404.4111547047967,11.869688226761802,0.0,392.54146647803486
4,8,4,8,4,4,4,7.4075521713873425e-16,183.3260890643448,183.3260890643448,11.869688226761802,0.0,171.456400837583
4,8,8,8,8,8,8,2.157161754422227e-15,11.869688226751297,11.869688226751295,11.869688226761802,-1.7763568394002505e-15,-1.0505374348213081e-11
