stress,x,seed,n_train,rho,noise,shuffled,lhs,old_scale,corrected_scale,old_rhs,corrected_rhs,calibrated_c_old,calibrated_c_corrected
shuffle,384.0,22,384,1.0,1.0,1,0.8707954100855789,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,23,384,1.0,1.0,1,0.7851557448569232,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,24,384,1.0,1.0,1,0.8317444360775291,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,25,384,1.0,1.0,1,0.8595603775264935,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,26,384,1.0,1.0,1,0.7568982006713126,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,27,384,1.0,1.0,1,0.811504105253724,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,28,384,1.0,1.0,1,0.8246826475877757,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,29,384,1.0,1.0,1,0.8204518186543335,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,512.0,0,512,1.0,1.0,1,0.6826249202534282,0.0,0.8233827772962874,0.0,0.6823440624951258,2.9505273848929625,0.8287082038996669
shuffle,512.0,1,512,1.0,1.0,1,0.6565663332789392,0.0,0.8233827772962874,0.0,0.6823440624951258,2.9505273848929625,0.8287082038996669
