experiment,method,seed,n_train,epochs,batch_size,reg_weight,cov_weight,train_mse,train_seconds,test_mse,test_rmse,fg_mse,fg_rmse,relative_mse,ssim,embedding_effective_rank,embedding_isotropy_error,embedding_gaussianity_score,predictive_effective_rank,predictive_isotropy_error,predictive_gaussianity_score,gap
regularizer_mnist_gpu,encoder_gaussian,3,10000,50,256,0.08,1.0,0.011632010340690613,55.603552185006265,0.03575539588928223,0.18909097252191134,0.12424475699663162,0.3524836974905813,0.28229515282559975,0.5831464456954991,17.58180046081543,2.7196881709559566,0.00748511347846666,7.108916282653809,3.4623837563006252,0.31047460954085543,0.024123385548591614
regularizer_mnist_gpu,encoder_gaussian,4,10000,50,256,0.08,1.0,0.008788411505520344,55.37410886599537,0.037631649523973465,0.19398878710887768,0.12936784327030182,0.3596774155688703,0.29710850598171784,0.6078777560580806,16.717437744140625,2.7397578704608474,0.007170974754089226,8.326478958129883,3.133480432356002,0.3165560493575815,0.02884323801845312
regularizer_mnist_gpu,encoder_gaussian,5,10000,50,256,0.08,1.0,0.008662854321300983,55.454689313002746,0.036901310086250305,0.19209713711102075,0.12895484268665314,0.35910283024038275,0.2913423473905771,0.610567901350741,17.740488052368164,2.68446086666452,0.007173142939537735,9.22940444946289,3.0683928904008937,0.31615834648099,0.028238455764949322
regularizer_mnist_gpu,encoder_gaussian,6,10000,50,256,0.08,1.0,0.011185548268258572,55.57537309599866,0.03599680960178375,0.18972825198631793,0.1242484375834465,0.3524889183838926,0.28420115663760737,0.6068035976156118,18.12117576599121,2.645786358075848,0.007303642968776143,7.661637306213379,3.429023937589189,0.30789785969803585,0.02481126133352518
regularizer_mnist_gpu,encoder_gaussian,7,10000,50,256,0.08,1.0,0.010546082630753517,55.73749183399923,0.0359443835914135,0.1895900408550341,0.1270119696855545,0.35638738710222967,0.2837872440450763,0.6014776095834766,16.529434204101562,2.831570064048119,0.007557442371224872,8.388986587524414,3.277128799914544,0.313800906548336,0.02539830096065998
regularizer_mnist_gpu,encoder_gaussian,8,10000,50,256,0.08,1.0,0.00942227803170681,55.5353819479933,0.036538608372211456,0.19115074776785848,0.1278827041387558,0.3576069128788701,0.2884787534280951,0.5961517503880774,18.951730728149414,2.5699408471442475,0.006787516369688905,7.982588768005371,3.233894702223143,0.3120712263478207,0.027116330340504646
regularizer_mnist_gpu,encoder_gaussian,9,10000,50,256,0.08,1.0,0.00939416978508234,54.23284309099836,0.036681242287158966,0.1915234771174515,0.12679725885391235,0.3560860273219273,0.2896048733273937,0.6047648825317428,18.29099464416504,2.649973820418888,0.006833315224158257,8.49123477935791,3.2018976821965004,0.31152694916154466,0.027287072502076626
regularizer_mnist_gpu,predictive_gaussian,0,10000,50,256,0.08,1.0,0.014200324192643166,54.06772819899925,0.03385373577475548,0.18399384711113434,0.11771973222494125,0.34310309270675665,0.2672812110330103,0.5859418513484104,6.397791862487793,4.404681762470189,0.0360896331198313,10.454448699951172,3.855093845691341,0.012647139510072175,0.019653411582112312
regularizer_mnist_gpu,predictive_gaussian,1,10000,50,256,0.08,1.0,0.011167967692017555,53.951184939003724,0.034903280436992645,0.1868241966047028,0.12129411846399307,0.3482730515902617,0.2755675511351023,0.5909114718522435,5.720513343811035,4.381725334234837,0.021217039394193806,10.558582305908203,3.9059816552988913,0.012793795741908259,0.02373531274497509
regularizer_mnist_gpu,predictive_gaussian,2,10000,50,256,0.08,1.0,0.012336412444710732,54.04187338799966,0.03430715948343277,0.1852219195544436,0.1206163614988327,0.34729866325517683,0.27086107113390695,0.5897684391220265,5.821934223175049,4.503737833094793,0.02975699193682156,10.510843276977539,3.82754034456694,0.012539641787608522,0.02197074703872204
